INSERT INTO AssistenciaAceita (id_assistenciaaceita, id_produto, id_prestador, codigo, dataassis, nome_segurado, servico, enderecoretirada, enderecoentrega, veiculo, valorsaida, valorhoraparada, valorhoratrabalhada, valortotalassist)
21,1,20,4745,2024-01-25,Pedro Barbosa,Remoção,"Rua dos Navegantes, 597","Rua Dom Pedro, 106",Harley Davidson,180.00,40.0,40.0,260.00
22,2,13,9628,2024-01-09,João Silva,Carga de Bateria,"Rua das Palmeiras, 314","Rua das Palmeiras, 864",Honda Civic,80.00,,40.0,120.00
23,2,15,8642,2024-01-21,Ana Pereira,Remoção,"Avenida Atlântica, 177","Avenida Independência, 143",Fiat Strada,180.00,,,180.00
24,1,15,4651,2024-01-03,Carlos Souza,Carga de Bateria,"Rua dos Navegantes, 143","Avenida Paulista, 600",VW Gol,80.00,,,80.00
25,3,7,9941,2024-01-11,Maria Oliveira,Remoção,"Avenida Independência, 779","Rua dos Navegantes, 608",Yamaha Fazer,180.00,,40.0,220.00
26,1,11,3064,2024-01-08,Ana Pereira,Troca de Pneus,"Rua Dom Pedro, 126","Rua Dom Pedro, 526",VW Gol,80.00,,,80.00
27,3,19,6991,2024-01-05,Ana Pereira,Troca de Pneus,"Rua das Flores, 13","Avenida Independência, 97",Chevrolet Onix,80.00,,40.0,120.00
28,1,10,4995,2024-01-20,Carlos Souza,Remoção,"Rua dos Navegantes, 845","Rua das Flores, 907",Ford Ka,180.00,40.0,40.0,260.00
29,3,3,6266,2024-01-14,Ana Pereira,Troca de Pneus,"Avenida Tiradentes, 367","Avenida Paulista, 487",Honda Civic,80.00,40.0,,120.00
30,2,1,9066,2024-01-05,Carlos Souza,Remoção,"Rua das Palmeiras, 460","Avenida Tiradentes, 27",VW Gol,180.00,,,180.00
31,3,7,7589,2024-01-18,Juliana Costa,Carga de Bateria,"Avenida Paulista, 56","Avenida Paulista, 870",Jeep Renegade,80.00,,40.0,120.00
32,2,17,3197,2024-01-20,Paulo Lima,Carga de Bateria,"Rua dos Navegantes, 57","Avenida Independência, 574",Jeep Renegade,80.00,40.0,40.0,160.00
33,1,3,9560,2024-01-20,Fernanda Ribeiro,Carga de Bateria,"Rua XV de Novembro, 82","Rua Dom Pedro, 806",Harley Davidson,80.00,40.0,40.0,160.00
34,3,10,5316,2024-01-05,Paulo Lima,Carga de Bateria,"Rua dos Navegantes, 857","Avenida Atlântica, 738",VW Gol,80.00,40.0,,120.00
35,2,8,4472,2024-01-03,Clara Gomes,Remoção,"Rua das Palmeiras, 993","Avenida Independência, 546",Harley Davidson,180.00,40.0,40.0,260.00
36,3,14,5577,2024-01-10,Maria Oliveira,Carga de Bateria,"Avenida Independência, 156","Rua XV de Novembro, 887",Harley Davidson,80.00,,,80.00
37,1,6,1940,2024-01-09,Fernanda Ribeiro,Remoção,"Avenida Atlântica, 463","Rua das Flores, 737",Fiat Strada,180.00,,40.0,220.00
38,2,1,2616,2024-01-27,Paulo Lima,Carga de Bateria,"Rua Dom Pedro, 694","Avenida Paulista, 947",Chevrolet Onix,80.00,40.0,40.0,160.00
39,1,19,6047,2024-01-06,João Silva,Remoção,"Rua das Flores, 177","Avenida Paulista, 232",Honda Civic,180.00,,,180.00
40,3,5,5482,2024-01-15,Maria Oliveira,Troca de Pneus,"Rua das Flores, 961","Rua XV de Novembro, 497",Jeep Renegade,80.00,,40.0,120.00
41,3,9,9843,2024-01-15,Juliana Costa,Troca de Pneus,"Avenida Independência, 834","Rua das Flores, 247",Honda Civic,80.00,,,80.00
42,2,13,5981,2024-01-27,Ana Pereira,Remoção,"Rua XV de Novembro, 71","Avenida Atlântica, 252",Yamaha Fazer,180.00,40.0,,220.00
43,1,15,5420,2024-01-22,Pedro Barbosa,Remoção,"Rua XV de Novembro, 714","Avenida Tiradentes, 365",Jeep Renegade,180.00,,40.0,220.00
44,2,13,8593,2024-01-22,Maria Oliveira,Remoção,"Rua das Flores, 337","Avenida Atlântica, 356",Fiat Strada,180.00,40.0,,220.00
45,2,17,6307,2024-01-05,Paulo Lima,Troca de Pneus,"Rua XV de Novembro, 586","Rua Dom Pedro, 871",Fiat Strada,80.00,,40.0,120.00
46,3,4,4026,2024-01-20,Carlos Souza,Remoção,"Rua das Palmeiras, 210","Rua XV de Novembro, 205",Renault Duster,180.00,,,180.00
47,1,11,1826,2024-01-19,Fernanda Ribeiro,Troca de Pneus,"Rua das Flores, 675","Avenida Tiradentes, 429",Chevrolet Onix,80.00,,40.0,120.00
48,3,1,4590,2024-01-05,Lucas Rocha,Carga de Bateria,"Avenida Paulista, 293","Rua das Palmeiras, 286",Fiat Strada,80.00,,,80.00
49,3,10,9404,2024-01-05,Lucas Rocha,Troca de Pneus,"Avenida Paulista, 250","Avenida Paulista, 797",Honda Civic,80.00,,40.0,120.00
50,2,7,4155,2024-01-03,Lucas Rocha,Carga de Bateria,"Avenida Independência, 136","Rua dos Navegantes, 675",Toyota Corolla,80.00,40.0,40.0,160.00
51,2,19,2588,2024-02-04,Lucas Rocha,Carga de Bateria,"Rua dos Navegantes, 343","Avenida Paulista, 835",Fiat Strada,80.00,40.0,40.0,160.00
52,3,9,5204,2024-02-18,Carlos Souza,Carga de Bateria,"Avenida Tiradentes, 133","Rua dos Navegantes, 544",VW Gol,80.00,40.0,40.0,160.00
53,1,9,4403,2024-02-15,Pedro Barbosa,Carga de Bateria,"Avenida Paulista, 653","Avenida Paulista, 647",Yamaha Fazer,80.00,40.0,,120.00
54,3,9,7294,2024-02-03,Lucas Rocha,Troca de Pneus,"Rua Dom Pedro, 415","Rua Dom Pedro, 765",Honda Civic,80.00,40.0,,120.00
55,3,1,9606,2024-02-15,Paulo Lima,Remoção,"Rua das Flores, 420","Avenida Paulista, 363",Toyota Corolla,180.00,,40.0,220.00
56,1,14,9445,2024-02-12,Lucas Rocha,Carga de Bateria,"Avenida Tiradentes, 58","Rua Dom Pedro, 288",Harley Davidson,80.00,40.0,,120.00
57,2,4,3648,2024-02-07,João Silva,Troca de Pneus,"Rua XV de Novembro, 307","Rua das Flores, 760",Chevrolet Onix,80.00,,40.0,120.00
58,1,6,9288,2024-02-04,Juliana Costa,Remoção,"Rua Dom Pedro, 427","Rua Dom Pedro, 947",Harley Davidson,180.00,40.0,40.0,260.00
59,1,8,8292,2024-02-08,Maria Oliveira,Remoção,"Avenida Atlântica, 627","Avenida Paulista, 702",Honda Civic,180.00,40.0,40.0,260.00
60,1,13,5992,2024-02-01,Lucas Rocha,Remoção,"Avenida Atlântica, 531","Avenida Atlântica, 95",Jeep Renegade,180.00,,40.0,220.00
61,1,18,6395,2024-02-11,João Silva,Troca de Pneus,"Rua Dom Pedro, 878","Avenida Atlântica, 297",Toyota Corolla,80.00,,,80.00
62,2,11,2227,2024-02-20,Maria Oliveira,Remoção,"Avenida Tiradentes, 745","Avenida Paulista, 341",Harley Davidson,180.00,40.0,40.0,260.00
63,1,13,8850,2024-02-17,Carlos Souza,Troca de Pneus,"Avenida Independência, 286","Avenida Independência, 581",Ford Ka,80.00,40.0,,120.00
64,1,19,8088,2024-02-25,João Silva,Carga de Bateria,"Avenida Atlântica, 541","Avenida Tiradentes, 787",Yamaha Fazer,80.00,,,80.00
65,3,14,9762,2024-02-15,Ana Pereira,Remoção,"Avenida Independência, 353","Rua das Palmeiras, 388",Harley Davidson,180.00,40.0,40.0,260.00
66,2,10,4234,2024-02-07,Clara Gomes,Carga de Bateria,"Rua Dom Pedro, 986","Rua das Palmeiras, 922",Ford Ka,80.00,,40.0,120.00
67,1,4,5505,2024-02-24,Maria Oliveira,Remoção,"Rua Dom Pedro, 992","Rua das Flores, 10",Ford Ka,180.00,,40.0,220.00
68,1,17,7247,2024-02-24,Pedro Barbosa,Remoção,"Rua dos Navegantes, 59","Rua das Flores, 208",Honda Civic,180.00,,40.0,220.00
69,3,20,5957,2024-02-25,Fernanda Ribeiro,Carga de Bateria,"Rua dos Navegantes, 379","Avenida Paulista, 315",VW Gol,80.00,40.0,,120.00
70,3,3,2873,2024-02-25,João Silva,Remoção,"Avenida Tiradentes, 137","Rua Dom Pedro, 244",Renault Duster,180.00,40.0,,220.00
71,2,2,2331,2024-02-26,Clara Gomes,Carga de Bateria,"Rua das Flores, 758","Rua dos Navegantes, 238",Chevrolet Onix,80.00,,,80.00
72,3,18,5997,2024-02-19,Juliana Costa,Troca de Pneus,"Avenida Tiradentes, 166","Rua das Palmeiras, 940",Toyota Corolla,80.00,40.0,40.0,160.00
73,1,10,6298,2024-02-27,Clara Gomes,Troca de Pneus,"Avenida Paulista, 274","Avenida Paulista, 771",Ford Ka,80.00,40.0,40.0,160.00
74,3,16,6342,2024-02-20,Lucas Rocha,Remoção,"Rua das Flores, 763","Rua XV de Novembro, 549",Honda Civic,180.00,40.0,,220.00
75,3,12,9252,2024-02-01,Pedro Barbosa,Remoção,"Rua Dom Pedro, 350","Avenida Paulista, 106",Ford Ka,180.00,,,180.00
76,2,2,2946,2024-02-23,Maria Oliveira,Carga de Bateria,"Avenida Paulista, 982","Avenida Atlântica, 401",Renault Duster,80.00,,40.0,120.00
77,3,4,8397,2024-02-09,Maria Oliveira,Carga de Bateria,"Avenida Tiradentes, 88","Avenida Paulista, 768",VW Gol,80.00,,,80.00
78,2,14,9088,2024-02-01,Fernanda Ribeiro,Troca de Pneus,"Avenida Paulista, 921","Rua das Palmeiras, 718",VW Gol,80.00,40.0,40.0,160.00
79,2,20,1039,2024-02-09,Lucas Rocha,Remoção,"Avenida Independência, 321","Rua Dom Pedro, 339",Yamaha Fazer,180.00,40.0,40.0,260.00
80,2,19,7458,2024-02-10,Carlos Souza,Carga de Bateria,"Avenida Independência, 906","Avenida Independência, 418",Chevrolet Onix,80.00,40.0,40.0,160.00
81,3,12,4328,2024-02-06,Clara Gomes,Carga de Bateria,"Rua Dom Pedro, 255","Rua das Flores, 518",VW Gol,80.00,,40.0,120.00
82,1,1,7202,2024-02-23,Fernanda Ribeiro,Remoção,"Rua XV de Novembro, 857","Avenida Independência, 624",Honda Civic,180.00,40.0,40.0,260.00
83,2,11,1662,2024-02-14,Clara Gomes,Troca de Pneus,"Rua dos Navegantes, 913","Rua das Palmeiras, 134",Toyota Corolla,80.00,40.0,,120.00
84,1,20,5826,2024-02-21,Ana Pereira,Remoção,"Avenida Tiradentes, 58","Rua Dom Pedro, 596",Harley Davidson,180.00,40.0,,220.00
85,3,19,6899,2024-02-11,Carlos Souza,Carga de Bateria,"Avenida Independência, 894","Rua das Flores, 170",Yamaha Fazer,80.00,40.0,40.0,160.00
86,1,8,3638,2024-02-13,Clara Gomes,Remoção,"Rua das Flores, 586","Avenida Paulista, 117",Fiat Strada,180.00,40.0,40.0,260.00
87,3,17,8514,2024-02-08,Maria Oliveira,Troca de Pneus,"Rua das Flores, 205","Avenida Atlântica, 587",Harley Davidson,80.00,,,80.00
88,2,9,5655,2024-02-06,Maria Oliveira,Carga de Bateria,"Rua Dom Pedro, 448","Rua dos Navegantes, 299",Chevrolet Onix,80.00,40.0,,120.00
89,1,17,6333,2024-02-18,Ana Pereira,Remoção,"Avenida Atlântica, 785","Rua dos Navegantes, 722",Fiat Strada,180.00,40.0,40.0,260.00
90,2,4,5597,2024-02-27,Carlos Souza,Carga de Bateria,"Rua XV de Novembro, 825","Rua dos Navegantes, 928",Harley Davidson,80.00,40.0,,120.00
91,2,20,4262,2024-02-24,Carlos Souza,Carga de Bateria,"Rua dos Navegantes, 423","Rua das Flores, 253",Harley Davidson,80.00,40.0,40.0,160.00
92,1,2,8146,2024-02-28,Paulo Lima,Carga de Bateria,"Rua Dom Pedro, 498","Rua das Flores, 602",Ford Ka,80.00,40.0,40.0,160.00
93,3,14,7952,2024-02-05,Lucas Rocha,Remoção,"Avenida Paulista, 498","Rua Dom Pedro, 905",Harley Davidson,180.00,,40.0,220.00
94,1,11,3743,2024-02-19,Lucas Rocha,Troca de Pneus,"Avenida Atlântica, 922","Rua das Flores, 711",Chevrolet Onix,80.00,,40.0,120.00
95,1,15,9055,2024-02-25,João Silva,Troca de Pneus,"Avenida Independência, 589","Rua Dom Pedro, 62",VW Gol,80.00,40.0,40.0,160.00
96,3,17,3157,2024-02-22,Maria Oliveira,Carga de Bateria,"Rua Dom Pedro, 42","Avenida Independência, 411",Toyota Corolla,80.00,,40.0,120.00
97,1,11,7369,2024-02-01,Ana Pereira,Carga de Bateria,"Rua das Palmeiras, 856","Avenida Independência, 414",Fiat Strada,80.00,,40.0,120.00
98,3,6,9182,2024-02-20,Carlos Souza,Carga de Bateria,"Avenida Paulista, 986","Rua das Palmeiras, 942",Renault Duster,80.00,,,80.00
99,2,17,3999,2024-03-10,Maria Oliveira,Troca de Pneus,"Avenida Paulista, 253","Avenida Atlântica, 101",Chevrolet Onix,80.00,,40.0,120.00
100,1,16,5093,2024-03-23,Paulo Lima,Troca de Pneus,"Rua Dom Pedro, 719","Rua das Palmeiras, 633",Chevrolet Onix,80.00,,,80.00
101,3,9,7419,2024-03-21,Clara Gomes,Carga de Bateria,"Rua XV de Novembro, 988","Rua das Flores, 989",Yamaha Fazer,80.00,40.0,40.0,160.00
102,3,18,4321,2024-03-14,Paulo Lima,Carga de Bateria,"Rua Dom Pedro, 310","Avenida Atlântica, 777",Toyota Corolla,80.00,,,80.00
103,3,19,9746,2024-03-24,João Silva,Remoção,"Avenida Independência, 309","Avenida Atlântica, 334",Harley Davidson,180.00,,40.0,220.00
104,3,3,2984,2024-03-14,João Silva,Remoção,"Rua das Palmeiras, 532","Avenida Independência, 24",Honda Civic,180.00,,,180.00
105,3,5,8083,2024-03-09,Paulo Lima,Troca de Pneus,"Rua XV de Novembro, 118","Rua XV de Novembro, 438",Toyota Corolla,80.00,,40.0,120.00
106,3,4,5820,2024-03-21,Juliana Costa,Remoção,"Rua das Palmeiras, 83","Rua Dom Pedro, 535",Harley Davidson,180.00,40.0,,220.00
107,1,15,2374,2024-03-23,Ana Pereira,Carga de Bateria,"Rua XV de Novembro, 25","Avenida Atlântica, 748",Toyota Corolla,80.00,40.0,40.0,160.00
108,2,10,7296,2024-03-04,Clara Gomes,Remoção,"Avenida Atlântica, 823","Avenida Tiradentes, 877",Honda Civic,180.00,,,180.00
109,2,3,1449,2024-03-02,Maria Oliveira,Troca de Pneus,"Rua Dom Pedro, 955","Avenida Independência, 688",VW Gol,80.00,,,80.00
110,3,8,9841,2024-03-27,Clara Gomes,Remoção,"Rua dos Navegantes, 569","Avenida Paulista, 413",Chevrolet Onix,180.00,40.0,,220.00
111,2,9,5087,2024-03-26,Fernanda Ribeiro,Troca de Pneus,"Rua das Flores, 297","Rua Dom Pedro, 794",Renault Duster,80.00,40.0,40.0,160.00
112,1,2,2540,2024-03-01,Juliana Costa,Carga de Bateria,"Rua Dom Pedro, 812","Avenida Independência, 472",Ford Ka,80.00,40.0,40.0,160.00
113,3,1,4466,2024-03-05,Paulo Lima,Carga de Bateria,"Rua das Flores, 534","Rua das Palmeiras, 921",Renault Duster,80.00,,40.0,120.00
114,1,1,6914,2024-03-18,Carlos Souza,Carga de Bateria,"Avenida Paulista, 635","Avenida Atlântica, 974",Ford Ka,80.00,40.0,40.0,160.00
115,3,16,3861,2024-03-11,Lucas Rocha,Troca de Pneus,"Rua das Flores, 954","Rua XV de Novembro, 295",Ford Ka,80.00,40.0,,120.00
116,1,16,2865,2024-03-19,Lucas Rocha,Carga de Bateria,"Rua XV de Novembro, 744","Rua dos Navegantes, 94",Fiat Strada,80.00,40.0,40.0,160.00
117,3,3,4827,2024-03-02,Ana Pereira,Carga de Bateria,"Rua Dom Pedro, 922","Rua dos Navegantes, 899",VW Gol,80.00,,40.0,120.00
118,2,5,1779,2024-03-26,Pedro Barbosa,Troca de Pneus,"Rua dos Navegantes, 391","Avenida Independência, 86",Fiat Strada,80.00,40.0,40.0,160.00
119,2,19,7482,2024-03-24,Pedro Barbosa,Troca de Pneus,"Avenida Tiradentes, 71","Rua das Flores, 497",Ford Ka,80.00,,40.0,120.00
120,2,14,4270,2024-03-12,Pedro Barbosa,Remoção,"Rua Dom Pedro, 360","Rua dos Navegantes, 26",VW Gol,180.00,,40.0,220.00
121,3,4,2206,2024-03-10,Carlos Souza,Carga de Bateria,"Rua das Flores, 768","Avenida Atlântica, 788",Chevrolet Onix,80.00,,40.0,120.00
122,1,15,1361,2024-03-20,Carlos Souza,Troca de Pneus,"Avenida Paulista, 595","Rua Dom Pedro, 683",VW Gol,80.00,40.0,40.0,160.00
123,3,10,5783,2024-03-04,Ana Pereira,Remoção,"Rua XV de Novembro, 580","Avenida Independência, 561",Yamaha Fazer,180.00,40.0,,220.00
124,3,6,8376,2024-03-03,João Silva,Troca de Pneus,"Rua das Palmeiras, 176","Avenida Independência, 676",Jeep Renegade,80.00,40.0,40.0,160.00
125,2,1,6149,2024-03-24,Pedro Barbosa,Remoção,"Rua XV de Novembro, 109","Rua XV de Novembro, 897",Fiat Strada,180.00,40.0,,220.00
126,3,9,3496,2024-03-10,Ana Pereira,Carga de Bateria,"Avenida Tiradentes, 131","Rua dos Navegantes, 193",Harley Davidson,80.00,40.0,40.0,160.00
127,3,19,8823,2024-03-11,Pedro Barbosa,Carga de Bateria,"Avenida Paulista, 785","Rua XV de Novembro, 144",Toyota Corolla,80.00,,,80.00
128,1,5,9486,2024-03-04,Paulo Lima,Carga de Bateria,"Avenida Paulista, 946","Rua Dom Pedro, 568",Honda Civic,80.00,40.0,40.0,160.00
129,3,16,3987,2024-03-28,Maria Oliveira,Troca de Pneus,"Rua dos Navegantes, 718","Avenida Tiradentes, 49",Yamaha Fazer,80.00,,,80.00
130,1,5,2913,2024-03-11,Clara Gomes,Remoção,"Avenida Tiradentes, 213","Avenida Tiradentes, 502",Honda Civic,180.00,40.0,,220.00
131,1,14,2576,2024-03-24,Maria Oliveira,Troca de Pneus,"Rua dos Navegantes, 77","Avenida Paulista, 325",Toyota Corolla,80.00,40.0,,120.00
132,3,5,3700,2024-03-16,Juliana Costa,Troca de Pneus,"Rua Dom Pedro, 423","Rua dos Navegantes, 912",VW Gol,80.00,40.0,,120.00
133,1,12,9275,2024-03-26,Maria Oliveira,Troca de Pneus,"Rua das Palmeiras, 130","Rua XV de Novembro, 879",Ford Ka,80.00,,40.0,120.00
134,1,12,1035,2024-03-24,Juliana Costa,Remoção,"Avenida Independência, 984","Avenida Paulista, 732",Renault Duster,180.00,40.0,,220.00
135,1,19,3658,2024-03-28,Pedro Barbosa,Carga de Bateria,"Rua XV de Novembro, 440","Avenida Paulista, 528",Toyota Corolla,80.00,40.0,,120.00
136,3,15,1007,2024-03-24,João Silva,Carga de Bateria,"Rua das Flores, 220","Avenida Independência, 100",Fiat Strada,80.00,40.0,,120.00
137,3,16,1184,2024-03-13,Ana Pereira,Troca de Pneus,"Rua das Palmeiras, 787","Rua Dom Pedro, 470",Fiat Strada,80.00,40.0,40.0,160.00
138,3,3,5424,2024-03-02,Maria Oliveira,Carga de Bateria,"Rua dos Navegantes, 845","Avenida Independência, 831",Toyota Corolla,80.00,40.0,40.0,160.00
139,3,15,1763,2024-03-25,Lucas Rocha,Troca de Pneus,"Avenida Independência, 609","Avenida Independência, 396",VW Gol,80.00,40.0,40.0,160.00
140,1,8,5838,2024-03-03,Lucas Rocha,Remoção,"Avenida Independência, 830","Avenida Atlântica, 735",VW Gol,180.00,40.0,40.0,260.00
141,3,17,3620,2024-03-13,João Silva,Carga de Bateria,"Rua XV de Novembro, 556","Rua das Palmeiras, 739",VW Gol,80.00,,,80.00
142,1,16,8049,2024-03-09,Pedro Barbosa,Troca de Pneus,"Rua das Flores, 910","Rua dos Navegantes, 322",Toyota Corolla,80.00,,,80.00
143,1,4,2839,2024-03-07,Paulo Lima,Carga de Bateria,"Rua Dom Pedro, 860","Rua das Flores, 408",Renault Duster,80.00,,,80.00
144,3,12,6047,2024-04-25,Juliana Costa,Remoção,"Avenida Independência, 364","Avenida Paulista, 847",VW Gol,180.00,40.0,40.0,260.00
145,1,11,2656,2024-04-22,Carlos Souza,Troca de Pneus,"Avenida Tiradentes, 564","Avenida Atlântica, 199",Toyota Corolla,80.00,,40.0,120.00
146,3,1,5624,2024-04-18,Fernanda Ribeiro,Remoção,"Rua das Flores, 345","Rua XV de Novembro, 481",Jeep Renegade,180.00,,,180.00
147,2,19,9419,2024-04-01,Fernanda Ribeiro,Carga de Bateria,"Rua Dom Pedro, 166","Avenida Independência, 269",Toyota Corolla,80.00,,,80.00
148,3,8,7994,2024-04-10,Lucas Rocha,Troca de Pneus,"Rua das Flores, 132","Rua das Palmeiras, 560",Yamaha Fazer,80.00,40.0,40.0,160.00
149,1,11,9347,2024-04-17,Carlos Souza,Troca de Pneus,"Avenida Tiradentes, 150","Rua das Flores, 432",VW Gol,80.00,40.0,,120.00
150,2,17,5307,2024-04-14,João Silva,Remoção,"Avenida Paulista, 255","Rua dos Navegantes, 222",Harley Davidson,180.00,,,180.00
151,1,16,5447,2024-04-10,Ana Pereira,Remoção,"Rua das Flores, 887","Rua das Palmeiras, 44",Harley Davidson,180.00,,40.0,220.00
152,2,18,4255,2024-04-01,Paulo Lima,Troca de Pneus,"Avenida Paulista, 132","Avenida Atlântica, 725",VW Gol,80.00,40.0,40.0,160.00
153,1,18,7670,2024-04-01,Pedro Barbosa,Remoção,"Avenida Independência, 475","Avenida Tiradentes, 359",Ford Ka,180.00,,40.0,220.00
154,1,20,5007,2024-04-26,Fernanda Ribeiro,Remoção,"Avenida Tiradentes, 174","Rua Dom Pedro, 774",Harley Davidson,180.00,40.0,40.0,260.00
155,2,8,8536,2024-04-13,Lucas Rocha,Remoção,"Avenida Independência, 17","Avenida Atlântica, 817",Yamaha Fazer,180.00,40.0,,220.00
156,1,12,3606,2024-04-19,João Silva,Troca de Pneus,"Avenida Tiradentes, 419","Rua Dom Pedro, 996",Fiat Strada,80.00,40.0,40.0,160.00
157,3,6,9545,2024-04-20,Ana Pereira,Troca de Pneus,"Rua dos Navegantes, 230","Avenida Independência, 386",Ford Ka,80.00,40.0,,120.00
158,1,3,6265,2024-04-20,Maria Oliveira,Troca de Pneus,"Rua Dom Pedro, 805","Rua das Palmeiras, 938",Harley Davidson,80.00,40.0,,120.00
159,2,11,1463,2024-04-27,Juliana Costa,Carga de Bateria,"Avenida Paulista, 398","Rua das Palmeiras, 465",Jeep Renegade,80.00,40.0,40.0,160.00
160,2,7,6535,2024-04-19,Juliana Costa,Troca de Pneus,"Avenida Atlântica, 159","Rua XV de Novembro, 926",Renault Duster,80.00,,40.0,120.00
161,3,11,5296,2024-04-22,Pedro Barbosa,Carga de Bateria,"Avenida Tiradentes, 57","Rua Dom Pedro, 388",Renault Duster,80.00,40.0,,120.00
162,2,4,4028,2024-04-20,Pedro Barbosa,Remoção,"Rua Dom Pedro, 848","Rua Dom Pedro, 329",Jeep Renegade,180.00,40.0,40.0,260.00
163,2,15,8634,2024-04-25,Fernanda Ribeiro,Troca de Pneus,"Avenida Tiradentes, 942","Rua Dom Pedro, 129",Honda Civic,80.00,,,80.00
164,1,20,1278,2024-04-20,Clara Gomes,Carga de Bateria,"Rua das Flores, 367","Avenida Atlântica, 17",Chevrolet Onix,80.00,,40.0,120.00
165,1,9,3187,2024-04-15,Paulo Lima,Carga de Bateria,"Rua dos Navegantes, 953","Avenida Paulista, 676",Renault Duster,80.00,40.0,40.0,160.00
166,1,8,6201,2024-04-01,Maria Oliveira,Troca de Pneus,"Rua das Palmeiras, 894","Avenida Tiradentes, 650",Chevrolet Onix,80.00,40.0,40.0,160.00
167,1,12,9392,2024-04-21,Pedro Barbosa,Carga de Bateria,"Rua dos Navegantes, 535","Rua dos Navegantes, 873",Jeep Renegade,80.00,,,80.00
168,1,6,8767,2024-04-14,Lucas Rocha,Troca de Pneus,"Rua Dom Pedro, 430","Avenida Independência, 857",Yamaha Fazer,80.00,40.0,40.0,160.00
169,2,13,2642,2024-04-15,Maria Oliveira,Remoção,"Avenida Independência, 387","Avenida Atlântica, 941",Honda Civic,180.00,,40.0,220.00
170,1,4,1784,2024-04-04,Carlos Souza,Remoção,"Avenida Tiradentes, 441","Rua das Palmeiras, 858",Honda Civic,180.00,40.0,40.0,260.00
171,3,9,2911,2024-04-27,João Silva,Remoção,"Rua das Palmeiras, 924","Avenida Tiradentes, 757",VW Gol,180.00,40.0,40.0,260.00
